id,request_id,responder_id,response_type,response_notes,status,created_at,reciprocal_date,reciprocal_start_time,reciprocal_end_time,reciprocal_child_id,block_time_id,invited_parent_id,accepted_parent_id,action_type,original_response_id,updated_at,decline_action,counter_proposal_date,counter_proposal_start_time,counter_proposal_end_time,selected_cancellation_request_id,counter_proposal_notes,invited_child_id
75d5b1de-70e9-44cf-9c8c-1aae6d4934f8,0a99273c-3e85-4465-9b3b-72fadb1aff79,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,accepted,2025-10-26 23:57:29.809187+00,2025-10-31,14:05:00,18:05:00,3d9d40ea-b518-4414-810b-c21bbc33573d,bbd2bb0d-c434-4dfa-b077-7a12a9e11ca2,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,,2025-10-26 23:57:29.809187+00,,,,,,,
32de8cb9-cab3-46ac-ad62-55613d9cb1e0,169078b6-43bf-4aa9-86ec-9a58aed79ed5,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,accepted,2025-10-26 23:57:28.276532+00,2025-10-28,13:00:00,17:00:00,3d9d40ea-b518-4414-810b-c21bbc33573d,bb1887c5-7527-41d0-8832-9d617690d7b2,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,,2025-10-26 23:57:28.276532+00,,,,,,,
82a9bbf3-86cf-46e4-8a75-e78607ffa262,717de1b5-8f51-468d-9f67-7a10cfb7fb11,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,accepted,2025-10-26 23:57:28.276532+00,2025-10-29,13:05:00,17:05:00,a42af785-eb87-4f53-af70-137b2946eee3,ec3282e2-7ef5-4807-bd75-74dcc9d93006,1ddffe94-817a-4fad-859e-df7adae45e31,,new,,2025-10-26 23:57:28.276532+00,,,,,,,
4d304436-3b6e-4a9f-b32a-5efc37e1c4e1,8e98e664-99f2-42fb-b983-3f247f82e358,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,accepted,2025-10-26 23:57:29.809187+00,2025-10-30,14:00:00,18:00:00,a42af785-eb87-4f53-af70-137b2946eee3,c91cba2d-1f0b-4ade-a2f5-d1e8b8aae57f,1ddffe94-817a-4fad-859e-df7adae45e31,,new,,2025-10-26 23:57:29.809187+00,,,,,,,
366d0f1f-fc93-4734-87fc-05039da5fe93,cd4e9f87-998c-4045-b737-8adb85d37eb4,88416767-8bca-46c7-9dd3-f191a134b46b,accept,care response,accepted,2025-10-26 23:56:17.321496+00,2025-10-27,07:30:00,11:30:00,5f093c84-ed8c-44b2-a2aa-3673c760b627,,,,new,,2025-10-26 23:56:45.968502+00,,,,,,,
cd3fedde-c85d-44bc-bf79-305702d96c35,0a99273c-3e85-4465-9b3b-72fadb1aff79,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,declined,2025-10-26 23:57:29.809187+00,2025-10-31,14:05:00,18:05:00,a42af785-eb87-4f53-af70-137b2946eee3,bbd2bb0d-c434-4dfa-b077-7a12a9e11ca2,1ddffe94-817a-4fad-859e-df7adae45e31,,new,,2025-10-26 23:57:29.809187+00,,,,,,,
da44c6e2-a3b3-4938-80b0-66bc0b02a3f8,169078b6-43bf-4aa9-86ec-9a58aed79ed5,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,declined,2025-10-26 23:57:28.276532+00,2025-10-28,13:00:00,17:00:00,a42af785-eb87-4f53-af70-137b2946eee3,bb1887c5-7527-41d0-8832-9d617690d7b2,1ddffe94-817a-4fad-859e-df7adae45e31,,new,,2025-10-26 23:57:28.276532+00,,,,,,,
c95aa767-ae23-4c75-bedf-07e9d6ac25ba,55784fc5-863b-43ec-a3a6-947b29ec944a,88416767-8bca-46c7-9dd3-f191a134b46b,pending,,declined,2025-10-27 00:05:54.544623+00,,,,,,,,counter_proposal_response,,2025-10-27 00:06:25.386428+00,,,,,,,
a97ded07-32d4-4c37-81c1-b00655cceb02,717de1b5-8f51-468d-9f67-7a10cfb7fb11,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,declined,2025-10-26 23:57:28.276532+00,2025-10-29,13:05:00,17:05:00,3d9d40ea-b518-4414-810b-c21bbc33573d,ec3282e2-7ef5-4807-bd75-74dcc9d93006,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,,2025-10-26 23:57:28.276532+00,,,,,,,
11d73db8-7ced-4ef1-9366-b8f65cd56b15,8e98e664-99f2-42fb-b983-3f247f82e358,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,declined,2025-10-26 23:57:29.809187+00,2025-10-30,14:00:00,18:00:00,3d9d40ea-b518-4414-810b-c21bbc33573d,c91cba2d-1f0b-4ade-a2f5-d1e8b8aae57f,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,,2025-10-26 23:57:29.809187+00,,,,,,,
dbc7ccae-2ac5-44ea-a638-9f8c1e95663f,c5975d69-5199-42a6-bf4d-5fd419ceb3c9,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,declined,2025-10-27 00:01:26.638263+00,,,,,,,,reschedule_response,,2025-10-27 00:03:28.815226+00,cancel,,,,169078b6-43bf-4aa9-86ec-9a58aed79ed5,,
bc7f82b1-fcf8-44a1-8688-e557b070ccd5,c5975d69-5199-42a6-bf4d-5fd419ceb3c9,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,declined,2025-10-27 00:01:26.638263+00,,,,,,,,reschedule_response,,2025-10-27 00:05:54.544623+00,counter_propose,2025-11-02,16:00:00,20:00:00,717de1b5-8f51-468d-9f67-7a10cfb7fb11,,
424ddc7e-5d49-4f2b-afba-41a3ddee71cc,c5975d69-5199-42a6-bf4d-5fd419ceb3c9,1f66fb72-ccfb-4a55-8738-716a12543421,pending,,declined,2025-10-27 00:01:26.638263+00,,,,,,,,reschedule_response,,2025-10-27 00:08:46.561938+00,counter_propose,2025-11-03,17:00:00,21:00:00,cd4e9f87-998c-4045-b737-8adb85d37eb4,,
c2380a80-de4c-45c6-9e64-3d0047d57f32,cd4e9f87-998c-4045-b737-8adb85d37eb4,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,declined,2025-10-26 23:56:17.321496+00,,,,,,,,new,,2025-10-26 23:56:45.968502+00,,,,,,,
7161c2e2-fc1f-495e-9132-30abee8bf032,cd4e9f87-998c-4045-b737-8adb85d37eb4,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,declined,2025-10-26 23:56:17.321496+00,,,,,,,,new,,2025-10-26 23:56:45.968502+00,,,,,,,
6bcb8c7a-92ff-48de-9f95-b10b78d107d6,772d33eb-24cc-4604-91e2-5671eaa053d1,88416767-8bca-46c7-9dd3-f191a134b46b,pending,,pending,2025-10-27 00:08:46.561938+00,,,,,,,,counter_proposal_response,,2025-10-27 00:08:46.561938+00,,,,,,,