id,request_id,responder_id,response_type,response_notes,status,created_at,reciprocal_date,reciprocal_start_time,reciprocal_end_time,reciprocal_child_id,block_time_id,invited_parent_id,accepted_parent_id,action_type,original_response_id,updated_at,decline_action,counter_proposal_date,counter_proposal_start_time,counter_proposal_end_time,selected_cancellation_request_id,counter_proposal_notes
6061abb2-a017-4f8a-9d74-943ae7ac0926,2220ec88-20d3-48bf-800b-8be0408fc2d4,88416767-8bca-46c7-9dd3-f191a134b46b,accept,care response,accepted,2025-10-22 18:21:41.945423+00,2025-10-23,07:30:00,11:30:00,5f093c84-ed8c-44b2-a2aa-3673c760b627,,,,new,,2025-10-22 18:22:25.847942+00,,,,,,
e8161737-b3a9-4b42-b0bc-7f03b53ca8d4,8b81f9bb-a9ec-4696-8bd9-f17354459790,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,accepted,2025-10-22 18:22:55.441343+00,2025-10-24,13:00:00,17:00:00,c4976c06-32ad-49fd-b0c1-30777c7f72cf,439ef571-abba-47b1-92a0-09bb2fccb01e,1ddffe94-817a-4fad-859e-df7adae45e31,,new,6061abb2-a017-4f8a-9d74-943ae7ac0926,2025-10-22 18:22:55.441343+00,,,,,,
06cb9f6a-87be-498d-878e-a56e3c1d2e03,d3c53641-0afa-445f-8e7d-f5988bac8aab,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,accepted,2025-10-22 18:22:55.441343+00,2025-10-25,13:05:00,17:05:00,3d9d40ea-b518-4414-810b-c21bbc33573d,36d2cc0c-26b2-41f1-a4e0-3f497ac82340,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,6061abb2-a017-4f8a-9d74-943ae7ac0926,2025-10-22 18:22:55.441343+00,,,,,,
e48174aa-537d-436d-87e7-9109f9c781eb,2220ec88-20d3-48bf-800b-8be0408fc2d4,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,declined,2025-10-22 18:21:41.945423+00,,,,,,,,new,,2025-10-22 18:22:25.847942+00,,,,,,
05d2c917-9e40-4846-99ee-88c316be59d1,2220ec88-20d3-48bf-800b-8be0408fc2d4,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,declined,2025-10-22 18:21:41.945423+00,,,,,,,,new,,2025-10-22 18:22:25.847942+00,,,,,,
a9590a66-bd61-4b6a-a63c-63bbe76d7c50,8b81f9bb-a9ec-4696-8bd9-f17354459790,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,declined,2025-10-22 18:22:55.441343+00,2025-10-24,13:00:00,17:00:00,3d9d40ea-b518-4414-810b-c21bbc33573d,439ef571-abba-47b1-92a0-09bb2fccb01e,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,6061abb2-a017-4f8a-9d74-943ae7ac0926,2025-10-22 18:22:55.441343+00,,,,,,
3cc197e3-61d5-4205-9a03-bf9d12aef84d,d3c53641-0afa-445f-8e7d-f5988bac8aab,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,declined,2025-10-22 18:22:55.441343+00,2025-10-25,13:05:00,17:05:00,c4976c06-32ad-49fd-b0c1-30777c7f72cf,36d2cc0c-26b2-41f1-a4e0-3f497ac82340,1ddffe94-817a-4fad-859e-df7adae45e31,,new,6061abb2-a017-4f8a-9d74-943ae7ac0926,2025-10-22 18:22:55.441343+00,,,,,,
6ddda8e3-2d54-462b-98da-4a2fd849abe8,4ff3ad08-c077-4239-ad98-1b68320be2f2,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,declined,2025-10-22 18:24:46.62067+00,,,,,,,,reschedule_response,,2025-10-22 18:26:22.632583+00,counter_propose,2025-10-31,18:30:00,22:30:00,d3c53641-0afa-445f-8e7d-f5988bac8aab,
9504a2b3-6652-4e42-ac80-fa4c42d9bb63,4ff3ad08-c077-4239-ad98-1b68320be2f2,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,pending,2025-10-22 18:24:46.62067+00,,,,,,,,reschedule_response,,2025-10-22 18:24:46.62067+00,,,,,,
1e32a05a-0194-4699-9ecf-7b4354a598be,4ff3ad08-c077-4239-ad98-1b68320be2f2,1f66fb72-ccfb-4a55-8738-716a12543421,pending,,pending,2025-10-22 18:24:46.62067+00,,,,,,,,reschedule_response,,2025-10-22 18:24:46.62067+00,,,,,,
2f8ff2b2-6242-4b7f-8b8a-f819844b773c,c5029825-30eb-4ad1-8f10-73b056ff3c8a,88416767-8bca-46c7-9dd3-f191a134b46b,pending,,pending,2025-10-22 18:26:22.632583+00,,,,,,,,counter_proposal_response,,2025-10-22 18:26:22.632583+00,,,,,,