id,group_id,parent_id,child_id,care_date,start_time,end_time,care_type,status,related_request_id,notes,is_editable,edit_deadline,edit_reason,original_start_time,original_end_time,original_care_date,edited_by,edited_at,event_title,event_description,is_group_event,created_at,updated_at,action_type,original_care_id,reschedule_group_id,end_date,photo_urls
79357159-4941-449c-b71f-211d71fb4098,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-11-14,07:30:00,11:30:00,needed,rescheduled,ad20a227-ed41-4aaf-a0b5-812356f43178," - Open block accepted - Parent receiving care - Pending reschedule response",true,,,,,,,,,,false,2025-11-07 02:13:54.896534+00,2025-11-07 02:13:54.896534+00,rescheduled,,,,
5c9ee97e-00ab-4c6e-aec3-14494b6e59f6,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-11-15,09:30:00,13:00:00,needed,confirmed,108ddfd3-4056-4d21-bde5-35390093fc95,Reschedule accepted,true,,,,,,,,,,false,2025-11-07 02:07:38.098438+00,2025-11-07 02:07:38.098438+00,new,,,,
c5ccf281-7e35-4d2c-905e-fa5aa8400a53,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-11-16,18:00:00,23:00:00,needed,confirmed,8ba2cb22-1cec-46f8-a4e0-65e38ab4e1f0,Care Response 21,true,,,,,,,,,,false,2025-11-07 01:54:46.854276+00,2025-11-07 01:54:46.854276+00,new,,,,
97337559-e777-4454-b8ed-43e8b8d625cd,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-11-17,15:00:00,18:00:00,needed,confirmed,64aeb585-8041-4801-8e3b-d30362bc02e3," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-11-07 01:57:17.30605+00,2025-11-07 01:57:17.30605+00,new,,,,
3b2e5b50-cc80-41ce-aad1-5a06337a5d46,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-11-17,08:30:00,13:00:00,needed,confirmed,8ba2cb22-1cec-46f8-a4e0-65e38ab4e1f0,Reciprocal care for responder,true,,,,,,,,,,false,2025-11-07 01:54:46.854276+00,2025-11-07 01:54:46.854276+00,new,,,,
c728a81c-54d8-4602-ad7d-59cca1697b4a,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-11-19,15:45:00,18:45:00,needed,confirmed,9c59f4bc-3646-45d7-8407-e37432dda85c," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-11-07 02:00:48.008687+00,2025-11-07 02:00:48.008687+00,new,,,,
d2b9bf6e-10b7-4602-bf96-a980bccc84c5,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-11-21,13:00:00,21:00:00,needed,confirmed,d5d4cba7-7b2f-49a7-8194-d94d017c51c4,Reschedule accepted,true,,,,,,,,,,false,2025-11-07 02:24:59.795782+00,2025-11-07 02:24:59.795782+00,new,,,,
3cda2827-44f9-4d2e-8468-cc3d310edce1,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-11-30,15:15:00,23:15:00,needed,confirmed,ad20a227-ed41-4aaf-a0b5-812356f43178," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-11-07 02:13:54.896534+00,2025-11-07 02:13:54.896534+00,new,,,,
5a6526eb-52b5-4929-9899-9705ae8bd6b6,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-11-14,07:30:00,11:30:00,provided,rescheduled,bbd09346-9a96-47a7-8430-df84be63315c,Rescheduled care block - Pending reschedule responses,true,,,,,,,,,,false,2025-11-07 02:02:27.040665+00,2025-11-07 02:02:27.040665+00,rescheduled,,,,
d5e51b10-df7b-4c98-8648-867e1f8cf2b5,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-11-15,09:30:00,13:00:00,provided,confirmed,108ddfd3-4056-4d21-bde5-35390093fc95,Rescheduled care block,true,,,,,,,,,,false,2025-11-07 02:07:38.098438+00,2025-11-07 02:07:38.098438+00,new,,,,
aeb8ebfe-f95a-40a2-9850-d3818d39bc35,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,a42af785-eb87-4f53-af70-137b2946eee3,2025-11-16,18:00:00,23:00:00,provided,confirmed,8ba2cb22-1cec-46f8-a4e0-65e38ab4e1f0,Care Response 21,true,,,,,,,,,,false,2025-11-07 01:54:46.854276+00,2025-11-07 01:54:46.854276+00,new,,,,
1dbe3624-f422-48a1-944d-30ac58685249,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-11-17,15:00:00,18:00:00,provided,confirmed,64aeb585-8041-4801-8e3b-d30362bc02e3," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-11-07 01:57:17.30605+00,2025-11-07 01:57:17.30605+00,new,,,,
bc86c026-fffe-4ffc-b49e-92ce20622a12,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-11-17,08:30:00,13:00:00,provided,confirmed,8ba2cb22-1cec-46f8-a4e0-65e38ab4e1f0,Reciprocal care provided by requester,true,,,,,,,,,,false,2025-11-07 01:54:46.854276+00,2025-11-07 01:54:46.854276+00,new,,,,
ee3c9e54-7212-460b-9bc6-b447a3bfa634,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-11-19,15:45:00,18:45:00,provided,confirmed,9c59f4bc-3646-45d7-8407-e37432dda85c," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-11-07 02:00:48.008687+00,2025-11-07 02:00:48.008687+00,new,,,,
88abdbf8-1457-489d-b5f3-5ed1afb462ed,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-11-21,13:00:00,21:00:00,provided,confirmed,d5d4cba7-7b2f-49a7-8194-d94d017c51c4,Rescheduled care block,true,,,,,,,,,,false,2025-11-07 02:24:59.795782+00,2025-11-07 02:24:59.795782+00,new,,,,
653db833-a821-43f4-9d44-3d75274c51ab,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-11-30,15:15:00,23:15:00,provided,confirmed,ad20a227-ed41-4aaf-a0b5-812356f43178," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-11-07 02:13:54.896534+00,2025-11-07 02:13:54.896534+00,new,,,,